,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
104,729.6521739130435,932.2162162162163,1352.4642857142858,1100.159090909091,1384.8936170212767,1660.8636363636363,338.8,828.1,613.3333333333334,852.3225806451613,1191.5365853658536,1387.2641509433963,3.222561333333333
105,702.5652173913044,883.4864864864865,1350.6607142857142,1097.25,1344.7659574468084,1548.2954545454545,344.1,817.8666666666667,599.8611111111111,965.8064516129032,1166.121951219512,1396.1132075471698,3.2535475
106,689.9782608695652,882.972972972973,1332.4642857142858,1120.8636363636363,1363.5106382978724,1612.7727272727273,359.96666666666664,771.6333333333333,608.4444444444445,864.2903225806451,1190.2926829268292,1336.8490566037735,3.2845336666666665
107,685.9347826086956,962.918918918919,1334.857142857143,1100.5227272727273,1337.063829787234,1576.0454545454545,340.46666666666664,858.1333333333333,610.4444444444445,852.4193548387096,1187.1951219512196,1329.7735849056603,3.315519833333333
108,719.4782608695652,920.2702702702703,1333.9464285714287,1108.1818181818182,1343.5744680851064,1565.2727272727273,339.6333333333333,886.3666666666667,647.1111111111111,904.5806451612904,1172.9024390243903,1348.8490566037735,3.3465059999999998
109,704.9782608695652,943.8378378378378,1359.875,1102.7272727272727,1380.1914893617022,1551.659090909091,345.3,815.2333333333333,629.0555555555555,893.483870967742,1139.9756097560976,1333.188679245283,3.3774921666666664
110,734.9782608695652,944.081081081081,1349.4107142857142,1062.7045454545455,1357.8297872340424,1587.0,351.0,828.4666666666667,614.1111111111111,881.8709677419355,1116.6097560975609,1404.1698113207547,3.408478333333333
111,718.6304347826087,902.8378378378378,1353.4464285714287,1043.25,1296.6382978723404,1519.4545454545455,362.6666666666667,854.3666666666667,600.3055555555555,902.4516129032259,1180.4634146341464,1372.301886792453,3.4394644999999997
112,737.0217391304348,934.1891891891892,1349.6607142857142,1134.2272727272727,1319.659574468085,1538.9318181818182,364.03333333333336,799.2,597.9444444444445,887.9677419354839,1185.9512195121952,1360.0377358490566,3.4704506666666664
113,740.3260869565217,929.027027027027,1381.3392857142858,1099.0681818181818,1346.531914893617,1618.5454545454545,352.2,881.4,630.2777777777778,939.6451612903226,1193.1707317073171,1344.811320754717,3.501436833333333
114,703.0217391304348,862.7297297297297,1330.625,1158.909090909091,1335.3617021276596,1554.5454545454545,379.43333333333334,805.9333333333333,601.6944444444445,888.3225806451613,1191.8536585365853,1364.7169811320755,3.5324229999999996
115,709.0,978.6756756756756,1356.6785714285713,1080.8636363636363,1307.8085106382978,1499.4772727272727,367.6666666666667,883.3333333333334,626.2777777777778,897.5483870967741,1162.780487804878,1382.9433962264152,3.5634091666666663
116,691.3260869565217,883.2162162162163,1378.9464285714287,1050.6136363636363,1277.8297872340424,1631.840909090909,342.03333333333336,849.8333333333334,639.75,879.5483870967741,1194.8048780487804,1382.9622641509434,3.5943953333333334
117,715.9782608695652,902.0540540540541,1399.5892857142858,1100.6818181818182,1286.3191489361702,1551.909090909091,332.46666666666664,811.3,612.5833333333334,947.9032258064516,1199.8292682926829,1326.0188679245282,3.6253815
118,731.0217391304348,890.3513513513514,1315.7857142857142,1099.7272727272727,1346.127659574468,1555.590909090909,321.6333333333333,817.8333333333334,627.9722222222222,929.1290322580645,1194.3902439024391,1386.2830188679245,3.6563676666666667
119,721.0,935.4594594594595,1346.6785714285713,1080.9545454545455,1311.6170212765958,1583.0227272727273,377.3,848.5,617.9722222222222,885.4516129032259,1290.2926829268292,1308.0754716981132,3.6873538333333333
120,728.3695652173913,905.8378378378378,1349.8392857142858,1057.7045454545455,1345.3829787234042,1570.1136363636363,333.9,862.4666666666667,590.0277777777778,908.1290322580645,1201.8292682926829,1376.2264150943397,3.71834
121,751.0434782608696,933.5675675675676,1312.5714285714287,1100.1363636363637,1376.0212765957447,1528.840909090909,337.06666666666666,849.2666666666667,606.5833333333334,946.258064516129,1282.9268292682927,1369.9245283018868,3.7493261666666666
122,688.2608695652174,904.3243243243244,1358.5535714285713,1094.0454545454545,1346.872340425532,1570.3636363636363,342.1666666666667,842.8333333333334,642.2777777777778,952.7741935483871,1262.9512195121952,1367.2075471698113,3.7803123333333333
123,716.6086956521739,944.3243243243244,1422.1607142857142,1110.9318181818182,1353.127659574468,1591.5227272727273,348.06666666666666,808.6333333333333,654.9166666666666,953.5483870967741,1300.878048780488,1396.9056603773586,3.8112985
124,726.6739130434783,898.4054054054054,1389.2142857142858,1149.4772727272727,1292.063829787234,1618.8636363636363,354.8333333333333,876.5666666666667,677.75,886.8709677419355,1214.878048780488,1395.2075471698113,3.8422846666666666
125,723.6086956521739,913.8648648648649,1320.517857142857,1096.2272727272727,1278.2340425531916,1563.4545454545455,362.3666666666667,811.0333333333333,641.3611111111111,845.0967741935484,1289.219512195122,1380.3207547169811,3.873270833333333
126,732.195652173913,894.3513513513514,1353.3392857142858,1137.6818181818182,1375.2553191489362,1558.4545454545455,374.43333333333334,851.2666666666667,685.5555555555555,970.483870967742,1252.560975609756,1418.9245283018868,3.904257
